id,id_artiste,date,nombre_ecoutes,plateforme
1,21,2024-08-24,4809,Deezer
2,23,2024-07-26,6773,Apple Music
3,19,2024-08-09,12219,YouTube Music
4,3,2024-09-06,9300,Apple Music
5,7,2024-09-02,14111,Deezer
6,3,2024-09-20,12981,YouTube Music
7,11,2024-09-02,7397,Deezer
8,9,2024-08-30,7434,Spotify
9,26,2024-07-08,1847,Spotify
10,6,2024-08-25,6000,YouTube Music
11,18,2024-06-10,1133,Spotify
12,27,2024-08-19,1658,YouTube Music
13,8,2024-09-07,11283,Spotify
14,9,2024-09-15,9440,Apple Music
15,6,2024-07-26,10911,Spotify
16,30,2024-08-13,1555,Deezer
17,7,2024-09-19,829,YouTube Music
18,13,2024-07-08,10021,YouTube Music
19,2,2024-06-06,7149,Deezer
20,14,2024-08-31,7787,Apple Music
21,30,2024-09-02,885,YouTube Music
22,14,2024-09-08,3311,YouTube Music
23,9,2024-07-14,10625,Deezer
24,4,2024-08-18,5503,Apple Music
25,6,2024-06-21,655,Apple Music
26,5,2024-08-20,10520,Spotify
27,27,2024-06-06,7540,YouTube Music
28,2,2024-06-14,5159,Spotify
29,23,2024-08-26,5173,YouTube Music
30,4,2024-06-03,8325,Deezer
31,21,2024-08-07,12272,YouTube Music
32,16,2024-07-23,7639,Deezer
33,14,2024-07-04,1222,Spotify
34,20,2024-07-08,9653,YouTube Music
35,20,2024-09-08,12173,Apple Music
36,6,2024-09-21,10598,Apple Music
37,8,2024-08-07,6829,Apple Music
38,19,2024-09-16,1110,Spotify
39,5,2024-08-14,2074,YouTube Music
40,12,2024-07-17,827,YouTube Music
41,15,2024-08-18,13555,Deezer
42,3,2024-08-01,14194,Deezer
43,8,2024-09-24,12897,YouTube Music
44,11,2024-07-08,9364,Spotify
45,2,2024-06-14,7231,Spotify
46,3,2024-09-08,14863,Apple Music
47,16,2024-09-04,212,Spotify
48,3,2024-07-21,14263,Spotify
49,30,2024-08-30,1251,YouTube Music
50,4,2024-09-21,11747,Apple Music
51,9,2024-07-30,10169,Spotify
52,16,2024-08-22,4055,Spotify
53,28,2024-08-17,7741,YouTube Music
54,7,2024-09-20,8973,Spotify
55,8,2024-07-22,12808,Spotify
56,8,2024-08-20,2425,Deezer
57,15,2024-06-29,2197,Deezer
58,28,2024-06-27,7911,YouTube Music
59,20,2024-09-21,2020,YouTube Music
60,6,2024-07-26,2547,YouTube Music
61,11,2024-06-07,6512,Deezer
62,27,2024-06-18,10772,YouTube Music
63,26,2024-07-28,12456,YouTube Music
64,10,2024-08-21,8944,YouTube Music
65,1,2024-07-09,209,Spotify
66,9,2024-06-22,1134,YouTube Music
67,21,2024-07-22,9488,Spotify
68,2,2024-07-22,14498,YouTube Music
69,4,2024-07-09,9907,Apple Music
70,18,2024-08-20,7337,Apple Music
71,28,2024-09-22,8790,Deezer
72,24,2024-08-04,2281,Spotify
73,29,2024-08-25,13326,YouTube Music
74,2,2024-08-03,9757,Apple Music
75,30,2024-06-21,7376,Deezer
76,8,2024-07-02,10439,Deezer
77,10,2024-08-16,6695,YouTube Music
78,5,2024-07-19,14289,Apple Music
79,26,2024-07-10,12499,Apple Music
80,19,2024-09-18,12481,YouTube Music
81,19,2024-06-05,9886,Apple Music
82,24,2024-06-01,5112,Apple Music
83,19,2024-08-24,4412,Deezer
84,7,2024-08-16,4562,YouTube Music
85,1,2024-07-04,1328,YouTube Music
86,24,2024-09-20,7878,Spotify
87,19,2024-07-03,3528,Deezer
88,5,2024-09-09,3320,YouTube Music
89,30,2024-07-12,2108,YouTube Music
90,16,2024-06-14,243,Spotify
91,24,2024-07-16,6419,Apple Music
92,19,2024-09-09,9907,Apple Music
93,7,2024-09-14,401,Spotify
94,23,2024-08-19,12182,Deezer
95,4,2024-09-19,6917,YouTube Music
96,22,2024-06-14,13948,Deezer
97,27,2024-09-06,7457,Spotify
98,10,2024-06-11,3380,Deezer
99,8,2024-09-17,5710,Apple Music
100,6,2024-06-17,9888,Apple Music
101,11,2024-08-27,4087,Deezer
102,11,2024-08-28,8195,Spotify
103,29,2024-07-28,5059,Deezer
104,1,2024-09-29,7809,YouTube Music
105,25,2024-08-23,9451,Spotify
106,12,2024-06-11,4114,Apple Music
107,20,2024-08-28,7938,Deezer
108,12,2024-09-21,7597,Apple Music
109,16,2024-06-07,5656,Spotify
110,9,2024-09-16,2349,Apple Music
111,8,2024-06-24,5154,Spotify
112,8,2024-06-30,7768,Deezer
113,12,2024-06-14,597,Deezer
114,25,2024-07-20,7392,Deezer
115,27,2024-06-16,11519,YouTube Music
116,23,2024-07-09,4616,Apple Music
117,4,2024-08-14,7395,YouTube Music
118,14,2024-07-01,1468,Deezer
119,22,2024-07-25,10927,YouTube Music
120,13,2024-09-20,8254,YouTube Music
121,17,2024-09-22,4512,Deezer
122,19,2024-09-23,12330,Spotify
123,20,2024-06-29,14260,Spotify
124,19,2024-07-12,8952,Spotify
125,3,2024-06-11,4902,Apple Music
126,11,2024-07-15,2430,Spotify
127,28,2024-07-03,8846,Spotify
128,17,2024-08-18,7172,Spotify
129,30,2024-07-23,8603,Deezer
130,7,2024-08-23,8056,Apple Music
131,16,2024-09-20,9249,YouTube Music
132,12,2024-07-13,3290,YouTube Music
133,9,2024-06-10,6496,YouTube Music
134,23,2024-08-23,9257,YouTube Music
135,28,2024-07-04,3845,Apple Music
136,25,2024-06-17,5151,Deezer
137,1,2024-07-20,9995,Spotify
138,3,2024-06-23,10488,Deezer
139,21,2024-06-21,8762,Spotify
140,18,2024-08-20,5948,YouTube Music
141,24,2024-07-24,4818,Apple Music
142,14,2024-08-31,1300,Spotify
143,14,2024-09-24,9108,Deezer
144,16,2024-06-07,9031,Apple Music
145,12,2024-09-06,3126,Apple Music
146,4,2024-08-10,3203,YouTube Music
147,19,2024-09-12,11139,Apple Music
148,21,2024-09-07,2522,Spotify
149,21,2024-06-23,977,Deezer
150,28,2024-09-04,2164,Deezer
151,18,2024-06-26,12877,Apple Music
152,25,2024-06-06,14631,Deezer
153,19,2024-07-11,6752,Spotify
154,17,2024-08-28,13219,Deezer
155,28,2024-09-26,5101,Apple Music
156,5,2024-07-04,9220,Apple Music
157,17,2024-07-29,8152,Deezer
158,5,2024-09-09,4319,YouTube Music
159,16,2024-09-20,8315,YouTube Music
160,17,2024-09-25,1746,Spotify
161,11,2024-06-01,1745,Apple Music
162,28,2024-08-30,8486,Apple Music
163,9,2024-06-25,1203,Apple Music
164,6,2024-08-19,1782,Apple Music
165,25,2024-09-15,5740,Apple Music
166,14,2024-07-20,14106,Deezer
167,23,2024-06-13,6851,YouTube Music
168,19,2024-06-20,6607,Deezer
169,22,2024-07-07,12225,Apple Music
170,1,2024-08-09,8763,Apple Music
171,22,2024-07-28,7772,Deezer
172,6,2024-07-11,10744,Apple Music
173,14,2024-08-14,4666,YouTube Music
174,26,2024-08-17,12255,Apple Music
175,9,2024-07-10,14996,YouTube Music
176,1,2024-07-28,11325,Apple Music
177,28,2024-06-26,11648,Apple Music
178,7,2024-09-08,6934,YouTube Music
179,28,2024-09-12,7313,Spotify
180,19,2024-09-15,4655,Deezer
181,14,2024-06-10,5353,Apple Music
182,14,2024-07-19,1404,Apple Music
183,12,2024-08-28,13739,Apple Music
184,7,2024-08-01,710,Apple Music
185,18,2024-09-22,9910,YouTube Music
186,7,2024-09-03,5678,Spotify
187,4,2024-07-14,13446,Spotify
188,29,2024-08-20,3450,YouTube Music
189,30,2024-06-17,5784,YouTube Music
190,28,2024-08-02,784,Apple Music
191,10,2024-07-08,3514,Apple Music
192,6,2024-09-08,12586,Deezer
193,13,2024-06-08,4347,Deezer
194,19,2024-08-29,3625,Spotify
195,3,2024-07-23,13585,Spotify
196,19,2024-06-06,9979,Spotify
197,22,2024-07-09,2728,Deezer
198,2,2024-06-12,11872,Spotify
199,8,2024-09-11,11032,Deezer
200,7,2024-07-22,3331,Deezer
201,13,2024-09-11,1087,YouTube Music
202,14,2024-08-08,12208,YouTube Music
203,13,2024-09-20,8460,Deezer
204,20,2024-08-27,3451,YouTube Music
